//===== rAthena Script =======================================
//= Mapflag: Disable auto-save.
//===== By: ==================================================
//= rAthena Dev Team
//===== Current Version: =====================================
//= 1.9
//===== Compatible With: =====================================
//= rAthena Project
//===== Description: ========================================= 
//= Characters logging out on the specified map will be warped
//= to the map specified in the last field, or "SavePoint".
//===== Additional Comments: ================================= 
//= 1.7 Updated. [Lupus]
//= 1.8 Updated. [L0ne_W0lf]
//= 1.9 Renewal split. [Euphy]
//============================================================

// Job Quests ====================
//job_thief1	mapflag	nosave	SavePoint
pvp_y_1-1	mapflag	nosave	SavePoint
pvp_y_1-2	mapflag	nosave	SavePoint
2012rwc_01	mapflag	nosave	SavePoint
2012rwc_02	mapflag	nosave	SavePoint
2012rwc_03	mapflag	nosave	SavePoint
2012rwc_04	mapflag	nosave	SavePoint
guild_vs1	mapflag	nosave	SavePoint
arug_cas02	mapflag	nosave	SavePoint
arena1	mapflag	nosave	SavePoint
arena2	mapflag	nosave	SavePoint
arena3	mapflag	nosave	SavePoint
arena4	mapflag	nosave	SavePoint
arena5	mapflag	nosave	SavePoint
arena6	mapflag	nosave	SavePoint
arena7	mapflag	nosave	SavePoint
arena8	mapflag	nosave	SavePoint
arena9	mapflag	nosave	SavePoint
arena10	mapflag	nosave	SavePoint
arena11	mapflag	nosave	SavePoint
arena12	mapflag	nosave	SavePoint
arena13	mapflag	nosave	SavePoint
arena14	mapflag	nosave	SavePoint
arena15	mapflag	nosave	SavePoint
arena16	mapflag	nosave	SavePoint
arena17	mapflag	nosave	SavePoint
arena18	mapflag	nosave	SavePoint
arena19	mapflag	nosave	SavePoint
arena20	mapflag	nosave	SavePoint
arena21	mapflag	nosave	SavePoint
arena22	mapflag	nosave	SavePoint
arena23	mapflag	nosave	SavePoint
arena24	mapflag	nosave	SavePoint
arena25	mapflag	nosave	SavePoint
arena26	mapflag	nosave	SavePoint
arena27	mapflag	nosave	SavePoint
arena28	mapflag	nosave	SavePoint
arena29	mapflag	nosave	SavePoint
arena30	mapflag	nosave	SavePoint
arena31	mapflag	nosave	SavePoint
2009rwc_01	mapflag	nosave	SavePoint
2009rwc_02	mapflag	nosave	SavePoint
2009rwc_03	mapflag	nosave	SavePoint
2009rwc_04	mapflag	nosave	SavePoint
quiz_02	mapflag	nosave	SavePoint
rwc01	mapflag	nosave	SavePoint
rwc02	mapflag	nosave	SavePoint
rwc03	mapflag	nosave	SavePoint
2008rwc_01	mapflag	nosave	SavePoint
2008rwc_02	mapflag	nosave	SavePoint
2008rwc_03	mapflag	nosave	SavePoint
2008rwc_04	mapflag	nosave	SavePoint
kvm	mapflag	nosave	SavePoint
flavius	mapflag	nosave	SavePoint
bio4	mapflag	nosave	SavePoint
1@lab	mapflag	nosave	SavePoint
1@dth3	mapflag	nosave	SavePoint
1@tnm1	mapflag	nosave	SavePoint
1@pump	mapflag	nosave	SavePoint
2@pump	mapflag	nosave	SavePoint
job_prist	mapflag	nosave	SavePoint
ecl_tdun02	mapflag	nosave	SavePoint
evt_bomb	mapflag	nosave	SavePoint
alberta2	mapflag	nosave	SavePoint
